frame_index, frame_size, send_frame_index_when_display, send_time_point, receive_time_point, display_time_point, receive_delay, display_delay
98, 8, 100, 3266.666667, 3308.000000, 3340.333333, 41.333333, 73.666667
99, 10, 101, 3300.000000, 3343.333333, 3373.666667, 43.333333, 73.666667
100, 7, 102, 3333.333333, 3373.666667, 3407.000000, 40.333333, 73.666667
101, 9, 103, 3366.666667, 3409.000000, 3440.333333, 42.333333, 73.666667
102, 8, 104, 3400.000000, 3441.333333, 3473.666667, 41.333333, 73.666667
103, 8, 105, 3433.333333, 3474.666667, 3507.000000, 41.333333, 73.666667
104, 10, 106, 3466.666667, 3510.000000, 3540.333333, 43.333333, 73.666667
105, 8, 107, 3500.000000, 3541.333333, 3573.666667, 41.333333, 73.666667
106, 10, 108, 3533.333333, 3576.666667, 3607.000000, 43.333333, 73.666667
107, 8, 109, 3566.666667, 3608.000000, 3640.333333, 41.333333, 73.666667
108, 9, 110, 3600.000000, 3642.333333, 3673.666667, 42.333333, 73.666667
109, 8, 111, 3633.333333, 3674.666667, 3707.000000, 41.333333, 73.666667
110, 8, 112, 3666.666667, 3708.000000, 3740.333333, 41.333333, 73.666667
111, 7, 113, 3700.000000, 3740.333333, 3773.666667, 40.333333, 73.666667
112, 11, 114, 3733.333333, 3777.666667, 3807.000000, 44.333333, 73.666667
113, 8, 115, 3766.666667, 3808.000000, 3840.333333, 41.333333, 73.666667
114, 8, 116, 3800.000000, 3841.333333, 3873.666667, 41.333333, 73.666667
115, 9, 117, 3833.333333, 3875.666667, 3907.000000, 42.333333, 73.666667
116, 9, 118, 3866.666667, 3909.000000, 3940.333333, 42.333333, 73.666667
117, 9, 119, 3900.000000, 3942.333333, 3973.666667, 42.333333, 73.666667
118, 9, 120, 3933.333333, 3975.666667, 4007.000000, 42.333333, 73.666667
119, 11, 121, 3966.666667, 4001.100000, 4040.333333, 34.433333, 73.666667
120, 11, 122, 4000.000000, 4034.433333, 4073.666667, 34.433333, 73.666667
121, 10, 123, 4033.333333, 4067.666667, 4107.000000, 34.333333, 73.666667
122, 11, 124, 4066.666667, 4101.100000, 4140.333333, 34.433333, 73.666667
123, 11, 125, 4100.000000, 4134.433333, 4173.666667, 34.433333, 73.666667
124, 11, 126, 4133.333333, 4167.766667, 4207.000000, 34.433333, 73.666667
125, 10, 127, 4166.666667, 4201.000000, 4240.333333, 34.333333, 73.666667
126, 10, 128, 4200.000000, 4234.333333, 4273.666667, 34.333333, 73.666667
127, 10, 129, 4233.333333, 4267.666667, 4307.000000, 34.333333, 73.666667
128, 10, 130, 4266.666667, 4301.000000, 4340.333333, 34.333333, 73.666667
129, 9, 131, 4300.000000, 4334.233333, 4373.666667, 34.233333, 73.666667
130, 11, 132, 4333.333333, 4367.766667, 4407.000000, 34.433333, 73.666667
131, 11, 133, 4366.666667, 4401.100000, 4440.333333, 34.433333, 73.666667
132, 11, 134, 4400.000000, 4434.433333, 4473.666667, 34.433333, 73.666667
133, 9, 135, 4433.333333, 4467.566667, 4507.000000, 34.233333, 73.666667
134, 11, 136, 4466.666667, 4501.100000, 4540.333333, 34.433333, 73.666667
135, 13, 137, 4500.000000, 4534.633333, 4573.666667, 34.633333, 73.666667
136, 11, 138, 4533.333333, 4567.766667, 4607.000000, 34.433333, 73.666667
137, 10, 139, 4566.666667, 4601.000000, 4640.333333, 34.333333, 73.666667
