342,45.62
343,45.49
344,45.63
345,45.67
346,45.92
347,45.81
348,45.91
349,45.79
350,45.05
351,45.77
352,46.12
353,45.67
354,44.62
355,44.50
356,44.27
357,44.84
358,43.98
359,44.61
360,44.91
361,45.27
362,44.86
363,44.80
364,44.42
365,44.74
366,44.16
367,44.73
368,45.12
369,44.38
370,45.03
371,44.89
372,45.00
373,44.81
374,44.37
375,44.60
376,44.11
377,44.08
378,44.37
379,44.69
380,44.57
381,44.70
382,44.40
383,44.80
384,43.84
385,44.14
386,44.02
387,44.99
388,44.67
389,44.68
390,43.88
391,44.95
392,45.35
393,46.00
394,44.86
395,45.36
396,45.68
397,45.50
398,45.27
399,45.54
400,45.25
401,45.61
402,45.82
403,45.37
404,45.53
405,46.01
406,45.89
407,45.89
408,46.21
409,46.50
410,47.76
411,46.51
412,47.42
413,47.52
414,47.73
415,45.90
416,47.45
417,45.49
418,46.80
419,46.97
420,46.69
421,46.73
422,45.79
423,46.53
424,46.25
425,46.36
426,45.82
427,44.19
428,43.69
429,43.60
430,44.02
431,44.11
432,43.70
433,43.42
434,43.96
435,43.52
436,43.80
437,44.12
438,43.36
439,43.46
440,43.51
441,43.57
442,44.21
443,43.49
444,44.61
445,45.29
446,44.74
447,46.50
448,44.54
449,46.22
450,44.56
451,45.67
452,46.73
453,45.95
454,45.85
455,45.90
456,45.88
457,45.98
458,44.20
459,46.19
460,45.03
461,45.65
462,45.17
463,42.75
464,43.61
465,42.93
466,43.59
467,43.67
468,42.99
469,43.79
470,45.31
471,45.13
472,44.24
473,45.24
474,44.68
475,44.67
476,45.27
477,44.52
478,43.85
479,44.20
480,44.21
481,43.85
482,44.02
483,44.83
484,44.99
485,44.01
486,44.18
487,44.09
488,44.56
489,44.87
490,45.17
491,45.01
492,44.09
493,44.87
494,44.69
495,44.80
496,43.94
497,44.59
498,44.69
499,44.91
500,42.70
501,44.99
502,43.64
503,43.89
504,43.07
505,43.85
506,43.69
507,43.77
508,43.92
509,43.84
510,43.84
511,43.71
512,43.10
513,43.41
514,43.30
515,43.71
516,43.73
517,43.26
518,43.21
519,44.06
520,43.51
521,43.68
522,44.28
523,43.85
524,44.03
525,44.77
526,43.96
527,43.93
528,44.37
529,44.57
530,44.54
531,43.76
532,44.65
533,44.22
534,43.75
535,43.92
536,43.53
537,43.59
538,44.03
539,43.75
540,43.78
541,43.49
542,43.49
543,43.66
544,43.77
545,44.25
546,44.31
547,44.12
548,44.20
549,43.98
550,44.07
551,44.16
552,44.09
553,43.93
554,43.59
555,43.76
556,43.44
557,43.17
558,43.37
559,43.08
560,43.67
561,43.62
562,43.65
563,43.08
564,42.94
565,43.11
566,43.20
567,43.46
568,43.06
569,43.34
570,42.94
571,43.31
572,42.95
573,42.82
574,42.79
575,42.71
576,42.64
577,42.62
578,42.65
579,42.30
580,42.28
581,42.85
582,42.88
583,43.10
584,43.15
585,42.86
586,42.50
587,42.50
588,42.95
589,43.12
590,42.67
591,42.94
592,42.80
593,42.94
594,43.37
595,43.17
596,43.01
597,43.45
598,43.33
599,43.35
