{cfg.data},{cfg.bitrate},{strategy},{avg_delay},{tail_delay},{avg_vmaf},{avg_psnr}

ReadySteadyGo,10to1,0.3_part,319.2368000000001,399.336,68.96278193333333,32.64701289493636
ReadySteadyGo,10to1,0.04_part,59.36053333333333,143.61333333333334,62.83692433333332,32.19522557695003
ReadySteadyGo,10to1,0.3_adaptive_part,151.03466666666665,262.3946666666667,63.89763070000001,32.28983941092356
ReadySteadyGo,10to1,0.3_drop_10_part,151.6136,324.5253333333333,48.13452983333334,31.907327703495945
ReadySteadyGo,10to1,0.3_drop_10_interval_3_part,113.71759999999999,274.4533333333333,48.659737400000004,31.901925619354888
ReadySteadyGo,10to1,0.3_drop_14_interval_3_part,109.13253333333333,274.4533333333333,40.36090433333334,31.56031716776387
ReadySteadyGo,10to1,0.3_drop_20_interval_3_part,103.62799999999999,274.4533333333333,31.46052986666667,31.228823046422885
ReadySteadyGo,10to1,0.3_drop_10_interval_4_part,89.72186666666667,240.85333333333332,49.74713953333333,31.897029198429653
ReadySteadyGo,10to1,0.3_drop_15_interval_4_part,81.15493333333332,240.85333333333332,39.23650986666667,31.440259796620353
ReadySteadyGo,10to1,0.3_drop_30_interval_4_part,74.37466666666667,240.85333333333332,26.314795533333328,30.9343897673136


Lecture1080p,10to1,0.3_part,455.79786666666655,519.7679999999999,73.97428056666668,35.155359231533176
Lecture1080p,10to1,0.04_part,88.19866666666667,232.04,47.698221266666664,34.36372422250027
Lecture1080p,10to1,0.3_drop_10_part,184.8389333333333,449.18666666666667,54.98430329999999,34.50042107944757
Lecture1080p,10to1,0.3_drop_15_interval_4_part,161.0170666666666,283.1168,47.10345443333333,34.26531261890148
Lecture1080p,10to1,0.3_drop_14_interval_3_part,197.96213333333338,326.2848,48.11104623333333,34.2257136850505

ReadySteadyGo,10to1,0.3_part,319.2368000000001,360.3450666666667,68.96278193333333,32.64701289493636
ReadySteadyGo,10to1,0.3_drop_10_part,151.6136,259.5989333333334,48.13452983333334,31.907327703495945
ReadySteadyGo,10to1,0.3_drop_14_interval_3_part,109.13253333333333,195.50560000000002,40.36090433333334,31.56031716776387
ReadySteadyGo,10to1,0.3_drop_15_interval_4_part,81.15493333333332,142.35999999999999,39.23650986666667,31.440259796620353
ReadySteadyGo,10to1,0.04_part,59.36053333333333,96.2752,62.83692433333332,32.19522557695003
ReadySteadyGo,10to1,0.3_drop_14_interval_3,181.4995828187921,411.36946666666694,72.10812181711408,33.78786214601232
